id,age,race_raw,sex,juv_fel_count,juv_misd_count,juv_other_count,priors_count,charge_degree,two_year_recid,race
3,34,African-American,1,0,0,0,0,1,1,1
4,24,African-American,1,0,0,1,4,1,1,1
8,41,Caucasian,1,0,0,0,14,1,1,0
10,39,Caucasian,0,0,0,0,0,0,0,0
14,27,Caucasian,1,0,0,0,0,1,0,0
15,23,African-American,1,0,0,0,3,0,1,1
16,37,Caucasian,0,0,0,0,0,0,0,0
18,41,African-American,1,0,0,0,0,1,0,1
19,47,Caucasian,0,0,0,0,1,1,1,0
20,31,African-American,1,0,0,0,7,1,1,1
22,25,African-American,1,0,0,0,3,1,0,1
23,31,Caucasian,1,0,0,0,6,1,1,0
24,31,Caucasian,1,0,0,0,5,1,1,0
25,64,African-American,1,0,0,0,13,1,1,1
26,21,African-American,1,0,0,0,1,1,1,1
27,27,Caucasian,1,0,0,0,0,0,1,0
28,21,Caucasian,0,0,0,0,0,1,0,0
32,43,Caucasian,1,0,0,0,1,0,0,0
37,27,African-American,1,0,0,0,8,1,1,1
39,26,African-American,1,0,0,1,5,1,1,1
40,33,African-American,1,0,0,0,0,1,1,1
41,30,Caucasian,1,0,0,0,9,1,1,0
42,32,African-American,1,0,0,0,4,1,1,1
45,55,Caucasian,1,0,0,0,0,1,0,0
52,33,Caucasian,0,0,0,0,4,0,1,0
53,24,Caucasian,1,0,0,0,1,0,1,0
54,34,African-American,1,2,1,3,21,1,1,1
55,29,Caucasian,1,0,0,0,0,0,0,0
56,21,African-American,0,0,0,0,2,1,0,1
57,51,African-American,1,0,0,0,2,0,0,1
59,29,Caucasian,1,0,0,0,2,0,1,0
61,51,African-American,0,0,0,0,7,1,0,1
64,29,African-American,1,0,0,0,0,1,1,1
66,25,Caucasian,1,0,0,0,9,0,1,0
67,35,African-American,1,1,0,4,13,1,1,1
68,49,Caucasian,1,0,0,0,0,0,0,0
70,29,African-American,1,0,0,0,0,1,0,1
71,29,Caucasian,1,0,0,0,1,1,1,0
79,31,African-American,1,0,0,1,15,1,0,1
80,24,African-American,1,0,0,0,2,1,1,1
84,49,African-American,1,0,0,0,4,0,0,1
85,53,Caucasian,1,0,0,0,8,1,0,0
87,35,African-American,1,0,0,0,5,1,0,1
90,27,African-American,1,1,1,2,15,1,1,1
91,38,Caucasian,1,0,0,0,4,0,1,0
93,22,African-American,1,0,0,1,1,1,1,1
96,29,African-American,1,0,0,0,4,1,1,1
98,27,African-American,1,0,1,0,6,1,1,1
100,56,African-American,0,0,0,0,0,0,0,1
105,39,African-American,1,0,0,0,1,0,0,1
107,29,African-American,1,0,0,0,5,1,1,1
108,27,Caucasian,1,0,0,1,1,1,1,0
111,40,African-American,1,0,0,0,2,1,0,1
113,22,African-American,1,0,0,0,1,0,1,1
114,22,Caucasian,1,0,0,0,0,1,0,0
115,26,African-American,0,0,0,0,1,1,1,1
119,32,African-American,1,0,0,0,0,1,0,1
120,41,African-American,1,0,0,0,1,0,0,1
122,30,African-American,1,0,0,0,8,0,1,1
128,25,African-American,1,1,6,1,14,1,1,1
131,22,African-American,1,1,0,0,2,1,1,1
136,35,African-American,0,0,0,0,1,0,0,1
137,36,African-American,1,0,0,0,9,1,1,1
138,26,Caucasian,1,0,0,0,7,1,1,0
142,25,Caucasian,1,0,0,0,9,1,1,0
145,20,Caucasian,0,0,0,0,0,1,0,0
146,39,Caucasian,1,0,0,0,2,1,1,0
148,54,Caucasian,0,0,0,0,0,0,0,0
151,19,African-American,1,0,0,0,1,0,1,1
153,30,African-American,1,0,0,0,1,1,0,1
154,39,Caucasian,0,0,0,0,0,1,1,0
156,24,Caucasian,1,0,1,2,8,1,1,0
157,30,Caucasian,1,0,0,0,0,1,0,0
158,31,Caucasian,1,0,0,0,0,0,0,0
159,39,Caucasian,0,0,0,0,1,1,0,0
163,43,Caucasian,1,0,0,0,1,1,0,0
166,21,African-American,1,0,0,0,3,1,1,1
169,38,Caucasian,1,0,0,0,5,0,1,0
171,34,Caucasian,1,0,0,0,0,1,0,0
173,33,African-American,1,0,0,0,5,1,1,1
174,37,African-American,1,0,0,0,3,1,0,1
175,42,Caucasian,1,0,0,0,1,1,1,0
176,41,African-American,1,0,1,0,10,1,1,1
177,22,African-American,1,0,0,0,0,1,1,1
178,33,African-American,1,0,12,2,28,1,1,1
180,31,African-American,1,0,0,0,1,0,0,1
183,31,Caucasian,1,0,0,0,13,1,1,0
184,27,African-American,1,0,0,0,3,1,1,1
189,52,Caucasian,1,0,0,0,3,0,0,0
190,33,African-American,1,0,0,0,19,1,1,1
194,42,Caucasian,1,0,0,0,6,1,0,0
195,25,Caucasian,0,0,0,0,2,1,0,0
197,30,Caucasian,1,0,0,0,1,0,0,0
202,28,Caucasian,1,0,0,0,0,0,1,0
203,24,African-American,0,0,0,0,0,0,0,1
206,29,Caucasian,0,0,1,0,10,1,1,0
208,44,Caucasian,1,0,0,0,2,0,1,0
210,32,African-American,1,0,0,0,3,1,1,1
213,31,Caucasian,1,0,0,0,2,0,1,0
215,31,African-American,1,0,0,0,1,0,0,1
216,59,Caucasian,1,0,0,0,1,1,1,0
220,20,African-American,0,1,0,0,1,1,0,1
222,43,Caucasian,0,0,0,0,0,0,0,0
223,38,African-American,1,1,1,0,9,1,1,1
224,32,African-American,1,0,0,0,11,1,1,1
225,33,African-American,1,0,0,0,8,0,1,1
227,31,African-American,0,0,0,0,0,1,1,1
228,33,African-American,0,0,0,0,7,1,1,1
229,27,African-American,1,0,0,0,2,1,1,1
231,20,African-American,0,0,0,0,0,1,0,1
232,26,Caucasian,0,0,0,0,0,0,0,0
234,61,African-American,0,0,0,0,1,1,1,1
238,32,African-American,0,0,0,0,4,1,1,1
241,26,African-American,0,0,0,0,2,0,1,1
243,39,Caucasian,1,1,0,0,1,0,0,0
244,30,Caucasian,0,0,0,0,3,1,1,0
245,30,African-American,1,0,0,0,1,1,0,1
246,48,Caucasian,1,0,0,0,2,0,0,0
248,22,African-American,1,0,0,0,1,1,0,1
249,46,Caucasian,1,0,0,0,6,1,1,0
252,31,Caucasian,1,0,0,0,0,1,0,0
254,25,African-American,1,0,0,0,1,0,1,1
258,32,African-American,0,0,0,0,5,1,0,1
260,62,African-American,1,0,0,0,8,1,0,1
265,28,African-American,1,0,0,0,6,0,1,1
268,78,Caucasian,1,0,0,0,1,0,1,0
269,56,Caucasian,1,0,0,0,0,1,0,0
275,22,African-American,1,0,0,0,1,1,1,1
277,47,African-American,1,0,0,0,23,0,1,1
